Llama-3.2-1B-Instruct,zero-shot,English,0.22907877981892194,0.0678527365051433,0.1652276476529748,0.14660024752252399
Llama-3.2-1B-Instruct,zero-shot,French,0.17164150823653954,0.05003577258965194,0.12172611695940141,0.1266391733663885
Llama-3.2-1B-Instruct,zero-shot,Cross-lingual,0.1600939635854534,0.04089643698821317,0.11876224978084529,0.07389793372263086
Llama-3.2-1B-Instruct,1-shot,English,0.22135110831693303,0.0640506865002872,0.16385137840046565,0.15134180841458347
Llama-3.2-1B-Instruct,1-shot,French,0.17304108463689466,0.054170670822954806,0.13380122583981047,0.15556337625569944
Llama-3.2-1B-Instruct,1-shot,Cross-lingual,0.14395932752861895,0.03532801110897698,0.10944759145919841,0.057203018228548994
Llama-3.2-1B-Instruct,2-shot,English,0.2445168164370951,0.0739375304096758,0.18587588367051827,0.20601670532757027
Llama-3.2-1B-Instruct,2-shot,French,0.18959947545668498,0.0661144661897494,0.1568496935926327,0.21523191861582291
Llama-3.2-1B-Instruct,2-shot,Cross-lingual,0.16906498476813075,0.043634318156046355,0.1309350817579317,0.12576687706363918
Llama-3.2-1B-Instruct,3-shot,English,0.2619982789487496,0.0813850386214701,0.203461912198553,0.24469467804511563
Llama-3.2-1B-Instruct,3-shot,French,0.2082609074580774,0.08112531572579651,0.17769777516959365,0.24998541481548783
Llama-3.2-1B-Instruct,3-shot,Cross-lingual,0.1912790072789884,0.05148640293723771,0.14778404483511534,0.17339174542458946
Llama-3.2-1B-Instruct,5-shot,English,0.277350992208762,0.09193100915340637,0.22033973672965249,0.2764707493040807
Llama-3.2-1B-Instruct,5-shot,French,0.2165044652420441,0.08722203743285305,0.189253425465238,0.27846006294208503
Llama-3.2-1B-Instruct,5-shot,Cross-lingual,0.20895532486222343,0.05612777792625339,0.16361332905564915,0.1984566090556637
Llama-3.2-1B-Instruct,7-shot,English,0.28235764907707883,0.09681948519711085,0.22748977744570423,0.28744523498271746
Llama-3.2-1B-Instruct,7-shot,French,0.18544645665035686,0.0701153860992363,0.16342201547245613,0.22305964982501184
Llama-3.2-1B-Instruct,7-shot,Cross-lingual,0.19054632304515007,0.05349684753691311,0.15265191183181262,0.15827100539218952
Llama-3.2-1B-Instruct,10-shot,English,0.18557920900135988,0.05470180766544428,0.15403341118510147,0.06852141233351937
llama-3.2-1b-english-1000samples,fine-tuned,English,0.18091689470077896,0.06746318462362866,0.15657269512926225,0.12159876461946421
llama-3.2-1b-french-1000samples,fine-tuned,French,0.15454444926158128,0.06544516185717113,0.13934842450188675,0.07356681525654564
llama-3.2-1b-crosslingual-1000samples,fine-tuned,Crosslingual,0.1299797409006711,0.03941718253842515,0.11710744493531354,0.05948817954294496
